server_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
EnerarXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1,1,0,0,0
F1000Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,290,314,420,727,740,859,802,832,894,1177,1279,1207,1027
FocUS Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,4,1,7,2,7,10,8
Frenxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,52,0,0,0,0,0
Gates Open Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,57,119,87,67,59,54,39,3
HAL,5245,5523,7060,7237,9015,8994,9829,10012,10465,10654,11555,11983,14094,17201,20067,27295,31674,34394,35229,37421,40675,42593,47623,49939,53167,56468,60030,61290,60665,59574,43383,54911,47786,19351,4523,3309
HANS Publication PrePrints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,11,0,0,0,0,0,0,0
HRB Open Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,95,131,81,76,76,124
Humanities Commons CORE,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,2,9,5,2,10,6,3,9,176,342,1253,998,1174,1311,1426,1449,4262,2938,1392
IACR Cryptology ePrint Archive,0,0,0,0,0,0,6,5,9,10,38,84,144,185,274,365,362,363,411,484,496,555,529,618,734,873,709,610,585,622,722,637,0,0,0,0
INA-Rxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,4106,8533,1025,0,0,0,0,0
IndiaRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,0,3,2,1
JMIR Preprints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,45,1112,2515,2606,5357,4695,4422,5347,5081,4642
Jxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,165,207,291
Keldysh Institute Preprints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,141,269,150,128,105,101,74,82,1
LIS Scholarship Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,77,123,57,1,0,0,7,10
LSE Research Online Documents on Economics,0,0,0,0,0,0,0,2,1,2,1,3,3,5,4,1,2,3,2,8,3,6,5,7,6,4,6,6,5,6,11,8,0,0,0,0
LatArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,73
Law Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,331,495,186,165,14,0,10,29,108
MNI Open Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,2,0,0,0,0,0
MarXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,362,111,20,0,0,0,2,2
MediArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,39,49,40,33,20,33
MetaArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,52,118,106,142,88,75,101
MindRxiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,58,64,29,42,25,1,1,0
Munich Personal RePEc Archive,15,35,38,48,58,46,52,75,86,104,152,163,180,218,234,347,530,852,1169,1718,2105,2952,3438,3423,4418,4669,4900,5010,4750,4667,4537,7234,6083,2002,30,1
National Bureau of Economic Research,20,16,19,26,26,30,35,49,48,55,58,57,48,74,72,82,71,112,94,101,149,116,87,65,63,53,0,0,0,0,0,47,0,0,0,0
Nature Precedings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,241,571,648,693,769,227,0,0,0,0,0,0,0,0,0,0,0,0,0
NewAddictionsX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
NutriXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,27,31,0,0,0,1,0
Open Research Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,36,31,18,8,7,21
Open Research Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,140,210,267,357
Open Science Framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,2860,3757,6761,12776,18039,20048,19460,6329,5716
Organic Eprints,1,2,2,4,5,13,13,19,32,52,165,205,485,601,531,717,711,606,800,584,527,724,503,782,732,713,477,671,924,881,640,354,11,10,13,0
Oroboros Instruments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,18,10,9,21
PREPRINTS.RU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,109,118,138,173,230,569
PaleorXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,55,37,20,36,4,8,10,13
PeerJ Preprints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,580,840,1078,838,1068,559,0,0,0,0,0,0
PhilSci-Archive,2,1,0,0,2,2,4,8,9,6,20,62,75,61,56,54,78,122,99,124,91,77,84,100,134,92,133,103,137,118,149,97,8,0,0,21
