server_name,server_name_rule_file,source_id,server_main_page_link,is_active_2026,scope_group,ownership_group,submission_group,researcher_can_submit,is_preprint_only,platform_model,review_type_group,versioning_available,publication_status_tracking,can_identify_peer_reviewed_version,has_medical_warning,has_server_statistics,has_preprint_metrics,raw_disciplinary_scope,raw_ownership_type,raw_submission_text,raw_screening_processes,raw_external_content_indexing,raw_permanence,raw_charges,raw_self_definition,raw_platform_model,raw_versioning,raw_publication_status,platform_type_group,screening_level,has_warning_label,has_non_peer_review_notice,indexed_google_scholar,indexed_crossref,indexed_europe_pmc,indexed_pubmed_pathway,indexing_group,permanence_group,charges_group
Sciencepaper Online,Sciencepaper Online,Sciencepaper Online,http://www.paper.edu.cn/,Yes,Multidisciplinary,Other / unclear,Researcher,Yes,Yes,Hybrid / mixed,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,All scientific fields,public institution,Researcher,"Content within scope, Manuscript is complete (methods, references), Text overlap detection (plagiarism detection), Originality",OpenDOAR,Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint database,Optional,,,Other / unclear,Moderate screening,No,No,No,No,No,No,Minimal / unclear indexing,Permanent with withdrawal marking,Unknown
searchRxiv,searchRxiv,searchRxiv,https://www.cabidigitallibrary.org/journal/searchrxiv,Yes,Other / unclear,Other / unclear,Researcher,Yes,Unknown,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Yes,Yes,,,Researcher,,,,,open repository,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
SocArxiv,SocArXiv,SocArXiv,https://osf.io/preprints/socarxiv,Yes,Social sciences,Academic institution,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,Relating to social sciences including social and behavioural sciences,Academic institution,Researcher,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,,No,yes,,Repository,Basic screening,Yes,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
SSOAR,Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences),Social Science Open Access Repository,https://www.ssoar.info/ssoar/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,,,"Researcher, Journals",,,,,open repository,No,yes,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
SportrXiv,SportRxiv,SportRxiv,https://sportrxiv.org/index.php/server,Unknown,Other / unclear,Scientific society,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,"Relating to sports and exercise science, including rehabilitation and therapy, theatre, dance, physiology, physiotherapy, psychology, sociology",Scientific society,Researcher,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,open repository,No,yes,,Repository,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
SSRN,SSRN,SSRN,https://www.ssrn.com/index.cfm/en/,Yes,Multidisciplinary,Publisher,Researcher,Yes,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"Broad scope covering multiple scientific fields including applied sciences, health sciences, life sciences, physical sciences, humanities, social sciences, law and economics",Publishing organisation (publisher),"Researcher, Journals","For all papers, quality completeness check, legal compliance and spam filtering and check of code and data links as well as author notifications. For medical papers, screening for ethics, funding, COIs and trial registration as well as potential for harm","Google Scholar, Crossref, Europe PMC and PubMed (NIH-supported preprints only)",Permanent with withdrawal options for author /owner and (rare) removal in exceptional circumstances,,preprint platform,No,,,Other / unclear,Strong screening,No,No,Yes,Yes,Yes,Yes,Broadly indexed,Permanent with withdrawal marking,Unknown
TechRxiv,TechRxiv,TechRxiv,https://www.techrxiv.org/,Yes,Physical sciences,Scientific society,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,Yes,"Unpublished research in electrical engineering, computer science, and related technologies",Society,Researcher,,"Google, Google Scholar, Crossref","By policy, all content is preserved. Removal will be considered only in extreme circumstances (legal issue), with DOI of removed article poining to DOI ""tombstone"" page",,preprint server,No,yes,,Preprint server,None / not described,Yes,Yes,Yes,Yes,No,No,Selectively indexed,Unclear,Unknown
Therapoid,Therapoid,Therapoid,-,No,Life sciences & biomedicine,Other / unclear,Not active,Unknown,Unknown,Hybrid / mixed,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,"Relating to pharmaceutical, medical device, and medical/health diagnostic technologies",Life sciences tech company,Not Active,"Legal compliance, Ethical compliance",Not indexed,Permanent with some removal options in exceptional circumstances,,/,Likely had no preprints,,,Other / unclear,Strong screening,No,No,No,No,No,No,Minimal / unclear indexing,Permanent with limited removal exceptions,Unknown
Thesis Commons (by OSF),Thesis Commons,Thesis Commons,https://osf.io/preprints/thesiscommons/,Yes,Multidisciplinary,Academic community group,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,All scientific fields,Academic community group; charity,Researcher,"Akismet spam filtering (automatic on all OSF content), No moderation","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,open archive,No,yes,,Repository,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
UCL Open: Environment Preprint,UCL Open Environment,UCL Open Environment,https://journals.uclpress.co.uk/ucloe/preprints/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Hybrid / mixed,Open peer review,Yes,Yes,Unknown,No,Unknown,Yes,,,Researcher,,,,no,,Yes,yes,yes,Other / unclear,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
