server_name,n_records,n_unique,n_is_version_of,n_published,pct_published,collection_date,count_2024,count_2025
NutriXiv,94,86,23.0,15.0,17.441860465116278,2026-04-08,1,0
Open Research Africa,287,189,90.0,4.0,2.1164021164021163,2026-04-08,7,21
Open Research Europe,1877,1190,627.0,34.0,2.857142857142857,2026-04-08,267,357
Open Science Framework,119481,106211,22817.0,10389.0,9.7814727288134,2026-04-08,6356,5790
Organic Eprints,13983,13773,247.0,0.0,0.0,2026-04-08,17,4
Oroboros Instruments,95,69,17.0,0.0,0.0,2026-04-08,9,21
PREPRINTS.RU,1415,1371,74.0,18.0,1.312910284463895,2026-04-08,233,546
PaleorXiv,287,251,101.0,105.0,41.832669322709165,2026-04-08,10,13
PeerJ Preprints,6446,5203,992.0,36.0,0.6919085143186623,2026-04-08,0,0
PhilSci-Archive,2362,2347,238.0,45.0,1.9173412867490414,2026-04-08,1,21
PoolText,79,79,0.0,14.0,17.72151898734177,2026-04-08,0,0
Preprints.org,115815,106335,10712.0,64464.0,60.62350119904076,2026-04-08,26102,28025
Prepublicaciones OpenCiencia,8,7,1.0,0.0,0.0,2026-04-08,0,0
PropylaeumDok,6750,6666,58.0,0.0,0.0,2026-04-08,599,355
PsyArXiv,56866,49446,9027.0,8335.0,16.856773045342393,2026-04-08,7053,8560
Qeios,116478,111465,3871.0,98.0,0.08791997488000718,2026-04-08,3171,869
RePEc: Research Papers in Economics,389387,383338,67771.0,3340.0,0.8712937407718514,2026-04-08,314,197
Research Square,450816,405719,50676.0,131050.0,32.30068101321358,2026-04-08,67963,55332
ResearchGate,181231,176695,20181.0,3462.0,1.9593084128017204,2026-04-08,27934,38349
ResearchHub,1636,1421,162.0,35.0,2.4630541871921183,2026-04-08,155,1015
SAE Mobilus®,105,104,4.0,18.0,17.307692307692307,2026-04-08,13,0
SSRN,1258958,1182514,160824.0,12027.0,1.0170704110057047,2026-04-08,193229,237706
SciELO Preprints,4141,4109,71.0,57.0,1.3871988318325625,2026-04-08,764,996
ScienceOpen Preprints,4295,3917,570.0,57.0,1.4551953025274444,2026-04-08,499,460
Sciencepaper Online,99,99,2.0,0.0,0.0,2026-04-08,19,78
SocArXiv,21541,19506,5923.0,5310.0,27.222393109812366,2026-04-08,2070,2740
Social Science Open Access Repository,27201,27031,440.0,14.0,0.051792386519181687,2026-04-08,49,198
SportRxiv,878,866,64.0,85.0,9.815242494226329,2026-04-08,109,136
TechRxiv,29416,17881,10221.0,2393.0,13.382920418321124,2026-04-08,3189,5121
Therapoid,7,6,1.0,0.0,0.0,2026-04-08,0,0
Thesis Commons,3959,3374,649.0,734.0,21.75459395376408,2026-04-08,292,244
UCL Open Environment,3467,3173,154.0,8.0,0.2521273242987709,2026-04-08,175,238
UnisaRxiv,126,125,9.0,0.0,0.0,2026-04-08,39,24
VeriXiv,504,450,82.0,42.0,9.333333333333334,2026-04-08,31,395
Wellcome Open Research,4727,3439,1175.0,70.0,2.035475428903751,2026-04-08,692,619
Zenodo,166786,70904,63974.0,68640.0,96.80695024258151,2026-04-08,4251,56310
arXiv,2920797,2880017,94344.0,1272002.0,44.166475406221565,2026-04-08,236989,274020
bioRxiv,306948,306602,21030.0,112144.0,36.576408503532264,2026-04-08,42724,43539
eLife,30518,19859,10006.0,5151.0,25.937861926582407,2026-04-08,214,211
engrXiv,4929,4880,805.0,602.0,12.336065573770492,2026-04-08,575,1030
medRxiv,75743,75516,4773.0,33735.0,44.672652153186085,2026-04-08,12559,13372
prepare@u,227,225,4.0,0.0,0.0,2026-04-08,27,1
searchRxiv,2,1,1.0,0.0,0.0,2026-04-08,0,0
viXra,25570,25311,1408.0,229.0,0.9047449725415827,2026-04-08,16,7
